user_id,source_pool,source_license,dest_platform,source_platform,dest_license,pool_percentage,training_requirement,migration_date,status
USR-0001,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-06-06,Pending
USR-0002,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-09-11,Migrated
USR-0003,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-08-28,Pending
USR-0004,Pool_3,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-04-14,Migrated
USR-0005,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-10-15,Pending
USR-0006,Pool_4,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Instructor-Led,2024-01-09,Migrated
USR-0007,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Directed,2024-10-23,Migrated
USR-0008,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-04-10,Migrated
USR-0009,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-05-05,Pending
USR-0010,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-12-16,Pending
USR-0011,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-09-07,Pending
USR-0012,Pool_1,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Instructor-Led,2024-09-08,Migrated
USR-0013,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-06-29,Pending
USR-0014,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-09-07,Migrated
USR-0015,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Directed,2024-11-24,Migrated
USR-0016,Pool_1,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Instructor-Led,2024-02-08,Migrated
USR-0017,Pool_1,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Instructor-Led,2024-01-04,Migrated
USR-0018,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-04-28,Pending
USR-0019,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-04-21,Migrated
USR-0020,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-11-12,Pending
USR-0021,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-09-04,Pending
USR-0022,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-09-29,Migrated
USR-0023,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-09-28,Pending
USR-0024,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-05-26,Migrated
USR-0025,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-12-11,Migrated
USR-0026,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-04-01,Pending
USR-0027,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-03-17,Migrated
USR-0028,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-05-09,Migrated
USR-0029,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-07-22,Migrated
USR-0030,Pool_4,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Directed,2024-08-23,Migrated
USR-0031,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Directed,2024-04-25,Pending
USR-0032,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-02-11,Migrated
USR-0033,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Directed,2024-01-17,Migrated
USR-0034,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-10-09,Migrated
USR-0035,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-12-25,Pending
USR-0036,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-08-10,Migrated
USR-0037,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-02-18,Pending
USR-0038,Pool_1,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Directed,2024-04-27,Migrated
USR-0039,Pool_4,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Directed,2024-10-17,Migrated
USR-0040,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-02-08,Pending
USR-0041,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-10-05,Migrated
USR-0042,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-06-10,Pending
USR-0043,Pool_4,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-03-14,Migrated
USR-0044,Pool_4,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-07-22,Migrated
USR-0045,Pool_5,GraphPad Prism Enterprise,Other Software,GraphPad Prism,Commercial,0.15,Self-Study,2024-10-15,Migrated
USR-0046,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Instructor-Led,2024-07-18,Migrated
USR-0047,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-07-15,Migrated
USR-0048,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Self-Study,2024-12-18,Migrated
USR-0049,Pool_2,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-06-26,Migrated
USR-0050,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-02-08,Migrated
USR-0051,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-10-31,Pending
USR-0052,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-01-16,Pending
USR-0053,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-08-18,Pending
USR-0054,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-07-11,Pending
USR-0055,Pool_3,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-12-04,Pending
USR-0056,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-05-31,Pending
USR-0057,Pool_1,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-02-12,Migrated
USR-0058,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-11-20,Migrated
USR-0059,Pool_1,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-07-03,Migrated
USR-0060,Pool_3,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-06-06,Migrated
USR-0061,Pool_4,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-02-22,Pending
USR-0062,Pool_5,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-08-17,Migrated
USR-0063,Pool_2,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-02-22,Pending
USR-0064,Pool_4,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-02-17,Migrated
USR-0065,Pool_1,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Instructor-Led,2024-07-16,Pending
USR-0066,Pool_5,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-02-13,Migrated
USR-0067,Pool_3,GraphPad Prism Enterprise,Jupyter,GraphPad Prism,Open Source,0.2,Instructor-Led,2024-05-04,Migrated
USR-0068,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-07-13,Pending
USR-0069,Pool_2,GraphPad Prism Enterprise,R / RStudio,GraphPad Prism,Open Source,0.3,Self-Study,2024-05-17,Migrated
USR-0070,Pool_5,GraphPad Prism Enterprise,Unknown,GraphPad Prism,Unknown,0.35,Self-Study,2024-08-10,Pending
